,LOCATIONS,STATE,Temperature_Min,Temperature_Max,Temperature_Mean,pH_Min,pH_Max,pH_Mean,Conductivity_Min,Conductivity_Max,Conductivity_Mean,BOD_Min,BOD_Max,BOD_Mean,Nitrate_Min,Nitatre_Max,Nitrate_Mean,Fecal_coliform_Min,Fecal_coliform_Max,Fecal_coliform_Mean,Total_coliform_Min,Total_coliform_Max,Total_coliform_Mean
54,"Dugwell Water sample at Rasulwadi Tal. Miraj, Dist. Sangli.",Maharashtra,25.0,25.0,25.0,7.4,7.4,7.4,2425,2425,2425,2.9,2.9,2.9,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0
55,Bore Well,Maharashtra,29.0,29.0,29.0,7.8,7.8,7.8,928,928,928,4.0,4.0,4.0,0.1,0.1,0.1,2.0,2.0,2.0,94.0,94.0,94.0
56,Dug Well,Maharashtra,28.0,28.0,28.0,7.2,7.2,7.2,1200,1200,1200,4.0,4.0,4.0,0.4,0.4,0.4,2.0,2.0,2.0,70.0,70.0,70.0
57,"Dugwell at Ghane Kunth near Awashi, Owned by Shri. Rajendra Ambre vill Ghanekunth Tal. Khed, Dist. Ratnagiri",Maharashtra,23.0,23.0,23.0,7.3,7.3,7.3,168,168,168,3.3,3.3,3.3,1.4,1.4,1.4,0.0,0.0,0.0,0.0,0.0,0.0
58,"Hand Pump in the premises of Zilla Parishad Primary School. Village- Bhugaon, Taluka- Wardha, District- Wardha.",Maharashtra,28.0,28.0,28.0,8.0,8.0,8.0,1124,1124,1124,7.6,7.6,7.6,77.0,77.0,77.0,23.0,23.0,23.0,40.0,40.0,40.0
59,"Dug well owned by Shri Deshmukh. Village- Malegaon, Taluka- Baramati, District- Pune.",Maharashtra,28.0,28.0,28.0,8.2,8.2,8.2,5495,5495,5495,3.2,3.2,3.2,1.3,1.3,1.3,8.0,8.0,8.0,550.0,550.0,550.0
60,"Dug well owned by Shri Shivaji Baban Darekar Village- Sanaswadi, Taluka- Shirur, District- Pune.",Maharashtra,25.0,25.0,25.0,7.7,8.1,7.9,1306,1368,1337,3.2,4.3,3.8,1.6,2.4,2.0,25.0,60.0,43.0,425.0,550.0,488.0
61,"Bore well at Bale railway station premises owned by Shri. Digambar Joshi. Village- Dahegaon,Taluka- North Solapur, District- Solapur.",Maharashtra,28.0,28.0,28.0,7.0,7.0,7.0,433,433,433,3.1,3.1,3.1,3.0,3.0,3.0,25.0,25.0,25.0,425.0,425.0,425.0
62,"Bore well near Chincholi. Village- Chincholi, Taluka- Mohol, District- Solapur.",Maharashtra,28.0,28.0,28.0,7.0,7.0,7.0,415,415,415,4.3,4.3,4.3,2.0,2.0,2.0,30.0,30.0,30.0,550.0,550.0,550.0
63,"Bore well at Shete Vasti, near old Tuljapur road. Village- Tuljapur naka, Taluka- Solapur,District- Solapur.",Maharashtra,28.0,28.0,28.0,6.9,6.9,6.9,440,440,440,3.2,3.2,3.2,2.3,2.3,2.3,20.0,20.0,20.0,425.0,425.0,425.0
64,Bore Well,Maharashtra,28.0,28.0,28.0,7.4,7.4,7.4,1090,1090,1090,5.0,5.0,5.0,0.2,0.2,0.2,2.0,2.0,2.0,79.0,79.0,79.0
65,"Dug well near Railway station, Cotton Market. Village- Wardha city, Taluka- Wardha,District- Wardha.",Maharashtra,27.0,27.0,27.0,8.0,8.0,8.0,1173,1173,1173,6.0,6.0,6.0,76.0,76.0,76.0,70.0,70.0,70.0,170.0,170.0,170.0
66,"Bore well Near Railway crossing at Dongri Buzurg. Village- Dongri-Buzurg, Taluka- Tumsar,District- Bandara.",Maharashtra,27.0,27.0,27.0,8.0,8.0,8.0,553,553,553,7.4,7.4,7.4,2.6,2.6,2.6,80.0,80.0,80.0,110.0,110.0,110.0
67,"Dug well near Jilla Parishet Primary school, Visapur. Village- Visapur, Taluka- Ballarpur,District- Chandrapur.",Maharashtra,27.0,27.0,27.0,8.0,8.0,8.0,915,915,915,6.2,6.2,6.2,24.0,24.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0
68,"Dugwell water sample at Sakharoli Tal .Walwa, Dist Sangli.",Maharashtra,25.0,25.0,25.0,7.1,7.1,7.1,2387,2387,2387,2.7,2.7,2.7,0.7,0.7,0.7,0.0,0.0,0.0,0.0,0.0,0.0
69,"Dugwell no 1 at Brahamanwadi (C/O Shri Vaidya) Vill Anjanwell, Tal. Guhagar, Dist Ratangiri.",Maharashtra,23.0,23.0,23.0,7.2,7.2,7.2,130,130,130,2.9,2.9,2.9,0.6,0.6,0.6,0.0,0.0,0.0,0.0,0.0,0.0
70,"Dugwell no. 1 at Grampanchayat at Arkatewadi near Masjid, Khed, Ratangiri.",Maharashtra,23.0,23.0,23.0,7.1,7.1,7.1,177,177,177,3.5,3.5,3.5,1.3,1.3,1.3,0.0,0.0,0.0,0.0,0.0,0.0
71,"Dugwell no 2 at Arkatewadi, Khed, Ratnagiri",Maharashtra,23.0,23.0,23.0,7.3,7.3,7.3,133,133,133,3.4,3.4,3.4,0.7,0.7,0.7,0.0,0.0,0.0,0.0,0.0,0.0
72,"Durgwell no. 2 owned by Group Gram Panchayat at Brahmanwadi Vill Anjanwell, Tal. Guhagar, Dist. Ratnagiri.",Maharashtra,23.0,23.0,23.0,7.1,7.1,7.1,175,175,175,2.8,2.8,2.8,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0
